	X1	X2	F1	F2	Current A	Current B	Current lenght	Previous lenght  / (Current lenght
8.997500	9.002500	0.995006	1.005006	-2.000000	9.002500	22.000000	1.999546
3.498750	3.503750	20.261252	20.216264	3.498750	9.002500	11.002500	1.999092
6.248125	6.253125	3.069066	3.051572	6.248125	9.002500	5.503750	1.998185
7.622812	7.627813	0.142270	0.138524	7.622812	9.002500	2.754375	1.996376
8.310156	8.315156	0.096197	0.099323	7.622812	8.315156	1.379688	1.992778
7.966484	7.971484	0.001123	0.000813	7.966484	8.315156	0.692344	1.985660
8.138320	8.143320	0.019133	0.020541	7.966484	8.143320	0.348672	1.971725
8.052402	8.057402	0.002746	0.003295	7.966484	8.057402	0.176836	1.945005
8.009443	8.014443	0.000089	0.000209	7.966484	8.014443	0.090918	1.895744
7.987964	7.992964	0.000145	0.000050	7.987964	8.014443	0.047959	1.811175
7.998704	8.003704	0.000002	0.000014	7.987964	8.003704	0.026479	1.682333
7.993334	7.998334	0.000044	0.000003	7.993334	8.003704	0.015740	1.517834
7.996019	8.001019	0.000016	0.000001	7.996019	8.003704	0.010370	1.349377
