	X1	X2	F1	F2	Current A	Current B	Current lenght	Previous lenght  / (Current lenght
1	3.193383	6.402778	23.103562	2.551119	-2.000000	11.597222	22.000000	1.617978
2	6.402778	8.386767	2.551119	0.149589	3.193383	11.597222	13.597222	1.617978
3	8.386767	9.613889	0.149589	2.604637	6.402778	11.597222	8.403839	1.617851
4	7.630556	8.386767	0.136489	0.149589	6.402778	9.613889	5.194444	1.617647
5	7.158583	7.630556	0.707982	0.136489	6.402778	8.386767	3.211111	1.618512
6	7.630556	7.914389	0.136489	0.007329	7.158583	8.386767	1.983989	1.615385
7	7.914389	8.103188	0.007329	0.010648	7.630556	8.386767	1.228184	1.624128
8	7.819608	7.914389	0.032541	0.007329	7.630556	8.103188	0.756211	1.600000
9	7.914389	8.008661	0.007329	0.000075	7.819608	8.103188	0.472632	1.666667
10	8.008661	8.008788	0.000075	0.000077	7.914389	8.103188	0.283579	1.502016
